sentence	obligation	reporting_entity	target_entity	frequency	deadline
Such measures shall include notification of the safeguards applicable to transfers of personal information under this Agreement, and of the conditions that may have been imposed by the transferring Competent Authority pursuant to Article 6(3).	1	-	-	-	-
In the course of audits in slaughterhouses, the competent authorities shall verify the evaluation of food chain information, as laid down in Section III of Annex II to Regulation (EC) No 853/2004.	0	-	-	-	-
An aerodrome meteorological office shall issue aerodrome forecasts as a TAF at a specified time.	1	an aerodrome meteorological office	-	-	at a specified time
Although aid granted under section 222 is, in principle, limited to a duration of three years, nothing in the legislation or in the information provided by Ireland demonstrates that the tax relief granted is designed to overcome the structural handicaps of enterprises located in Ireland.	0	-	-	-	-
In the event of the adoption by the IMO of a global GHG fuel standard or global GHG intensity limits for the energy used on board by ships, the Commission shall, without delay, present a report to the European Parliament and to the Council.	1	the Commission	the European Parliament and the Council	-	-
In case of serious disturbances of its labour market or threat thereof, Switzerland and any of the new Member States which has implemented transitional measures, shall notify such circumstances to the Joint Committee by 31 May 2009.	1	Switzerland and any of the new Member States	the Joint committee	-	31-05-2009
The Party concerned shall immediately notify the other Party and the Joint Committee of its decision in writing, together with the date of such decision.	1	The Party	the other Party and the Joint Committee	-	-
The Greek authorities shall notify the Commission each year, no later than 31 July for the preceding calendar year, of the number of animals for which the supplementary aid referred to in Article 1(1) and (2) has been applied for and granted.	1	The Greek authorities	the Commission	annually	31-07-?
In order to facilitate the recovery of these debts, the Spanish general legislation even provides special claim proceedings for public institutions where they are ranked as preferential creditors.	0	-	-	-	-
4. In order to carry out its functions under paragraph 1, where, inter alia, on the basis of initial assessments or analysis, the Agency suspects that there has been a breach of this Regulation, it shall have the power:	0	-	-	-	-
2. The application shall be accompanied by the following:	0	-	-	-	-
Following approval by the Management Board, the draft programming document shall be submitted to the Commission, the European Parliament and the Council no later than 31 January each year.	1	-	the Commission, the European Parliament and the Council	annually	31-01-?
Member States shall report to the Commission every month on the import trade of products subject to investigation and to measures, and on the amount of duties collected pursuant to this Decision.	1	Member States	the Commission	monthly	-
Without prejudice to other forms of cooperation provided for in this Agreement, and particularly those provided for in Articles 61 and 62, the Contracting Parties' administrative authorities shall provide mutual assistance in accordance with the terms of Protocol No 5.	0	-	-	-	-
By 30 June 2023, and subsequently by 1 January 2033 and every 10 years thereafter, each Member State shall submit to the Commission a draft update of the latest notified integrated national energy and climate plan or shall provide the Commission with reasons justifying why the plan does not require updating.	1	each Member State	the Commission	every ten years	30-06-2023;01-01-2033
It does not correspond to previous information submitted by the parties on export figures to western Europe from their US plants (reply to the Commission's request for information, dated 7 June 2001).	0	-	-	-	-
However, the Commission may decide not to allocate quantities on a given working day provided that the competent authorities of the Member States have been informed in advance.	0	-	-	-	-
Each year, not later than 1 November, the Commission shall inform the Member States in the framework of the Standing Committee on the Food Chain and Animal Health on the updated list of members of the team.	1	the Commission	the Member States in the framework of the Standing Committee on the Food Chain and Animal Health	annually	01-11-?
the requirements and arrangements for the application referred to in paragraph 1, including the standard forms, templates and procedures for the application for authorisation; and	0	-	-	-	-
The Member States shall adopt and publish the provisions necessary in order to comply with this Directive before 1 March 1974 and shall forthwith inform the Commission thereof.	1	The Member States	the Commission	-	01-03-1976
3. Where the competent authority has disclosed an administrative sanction or other measure to the public, it shall at the same time report that fact to EIOPA.	1	the competent authority;it	EIOPA	-	-
Each party shall, no later than 1 February of each year, notify the Director of the initial allocation of its distributed DML among its fleet.	1	Each party	the Director	annually	01-02-?
From 2015 to 2023, the Member States shall submit to the Commission, by 30 June of each year, an annual implementation report for the operational programme implemented in the previous financial year.	1	the Member States	the Commission	annually	30-06-?
the criteria to be applied when deciding the transactions for which, due to their size or the type, including liquidity profile of the share, depositary receipt, ETF, certificate or other similar financial instrument involved, deferred publication is allowed for each class of financial instrument concerned.	0	-	-	-	-
the national air-space, territorial waters and the continental shelf lying in international waters, over which the country enjoys exclusive rights;	0	-	-	-	-
The Commission shall transmit that report to the GFCM Secretariat by 30 November of each year.	1	The Commission	the GFCM Secretariat	annually	30-11-?
1) Variable 150101: Building permits – Number of dwellings	0	-	-	-	-
The value of a liquid asset to be reported shall be its market value, subject to appropriate haircuts that reflect at least the duration, the credit and liquidity risk and typical repo haircuts in periods of general market stress.	0	-	-	-	-
A temporary suspension shall be notified to the EPA Committee without undue delay;. (c) Temporary suspensions under this Article shall be limited to that necessary to protect the financial interests of the Party concerned.	1	-	the EPA Committee	-	without undue delay
the criteria to be applied when determining the size or type of a transaction for which deferred publication and publication of limited details of a transaction, or publication of details of several transactions in an aggregated form, or omission of the publication of the volume of a transaction with particular reference to allowing an extended length of time of deferral for certain financial instruments depending on their liquidity, is allowed under paragraph 3.	0	-	-	-	-
For second-semester DMLs, the IRP shall, by 1 May of each year, or later if agreed by the IRP, provide to the Parties a list of qualified applicant vessels eligible to receive a second-semester DML for that same year.	1	the IRP	the Parties	annually	01-05-?
52. (2)Opinion delivered on 14 and 15 December 1977 (not yet published in the Official Journal). (3)OJ No C 139, 13.6.1977, p.	0	-	-	-	-
taking into account their level of classification, EU classified information shall be forwarded to the Court by diplomatic bag, military mail services, secure mail services, secure telecommunications or personal carriage.	1	-	the Court	-	-
With regard to paragraph 1, Member States shall ensure that payment service providers have in place adequate security measures to protect the confidentiality and integrity of payment service users’ personalised security credentials.	0	-	-	-	-
Where a hosting service provider as referred to in Article 14 of Directive 2000/31/EC allows the direct selling of refrigerating appliances with a direct sales function through its internet site, the service provider shall enable the showing of the electronic label and electronic product fiche sheet provided by the dealer on the display mechanism, in accordance with the provisions of Annex VIII, and shall inform the dealer of the obligation to display them.	0	-	-	-	-
For the purposes of enforcement in a Member State of a decision referred to in Article 42(1) which was given in another Member State, the authority competent for enforcement may require the applicant to provide a translation or transliteration, in accordance with Article 91, of the decision if it is unable to proceed without such a translation or transliteration.	1	the applicant	the authority competent	-	-
The allocation body cannot require the establishment of an international grouping before even providing information relating to prices of train paths and their availability, since that may have the effect of preventing market entry.	0	-	-	-	-
Member States which provide in their CAP strategic plans for restructuring and conversion of vineyards in accordance with Article 58(1), first subparagraph, point (a), of Regulation (EU) 2021/2115, shall on the basis of the vineyard register submit to the Commission by 1 March each year an updated inventory of their production potential.	1	Member States	the Commission	annually	01-03-?
The party seeking the enforcement of a judgment given in the European Small Claims Procedure in another Member State shall not be required to have:. (a) an authorised representative; or. (b) a postal address. in the Member State of enforcement, other than with agents having competence for the enforcement procedure.	0	-	-	-	-
Should not include non–technical expenses such as tax, interest expenses, losses on disposals, etc..	0	-	-	-	-
Member States shall transmit, by 30 April of each year, to the Commission and to the other Member States, the results of the surveys carried out outside of the demarcated areas based on the templates referred to in Annex I to Commission Implementing Regulation (EU) 2020/1231Commission Implementing Regulation (EU) 2020/1231 of 27 August 2020 on the format and instructions for the annual reports on the results of the surveys and on the format of the multiannual survey programmes and the practical arrangements, respectively provided for in Articles 22 and 23 of Regulation (EU) 2016/2031 of the European Parliament and the Council (OJ L 280, 28.8.2020, p.	1	Member States	the Commission and the other Member States	annually	30-04-?
Where a breed society or a breeding operation carries out performance testing or genetic evaluation of breeding animals or outsources those activities to a third party in accordance with Article 27(1)(b), that breed society or breeding operation shall, at the request of the competent authority referred to in Article 8(3), or, where applicable, in Article 12(5), provide the following information:. (a) records of all data resulting from performance testing and genetic evaluation in relation to breeding animals from holdings located on the territory where that competent authority operates;. (b) details of the recording methods for traits;. (c) details of the model of performance description used for the analysis of the results of performance testing;. (d) details of the statistical methods used for the analysis of the results of performance testing for each evaluated trait;. (e) details of the genetic parameters used for each evaluated trait, including, where applicable, details of the genomic evaluation.	1	that breed society or breeding operation	competent authority	-	-
Each year by 31 December Member States shall provide the Commission with data for the preceding calendar year related to compliance with Article 7a of Directive 98/70/EC, as defined in Annex III to this Directive.	1	Member States	the Commission	annually	31-12-?
Member States which export fish belonging to one of the species referred to in Article 1 shall check that the information on imports transmitted by the Commission corresponds to their own information.	1	Member States	-	-	-
NCAs shall communicate the following to the ECB:. (a) reasons for any resubmissions by significant supervised entities;. (b) reasons for any significant revisions submitted by significant supervised entities.	1	NCAs	ECB	-	-
Croatia shall communicate to the Commission by 30 September 2013 at the latest:. (a) information on the system established for the identification of surplus quantities referred to in Article 8;. (b) quantities of sugar, isoglucose, fructose and processed products imported and exported monthly for the period from 1 July 2009 to 30 June 2013, communicated separately for imports from and exports to:(i) the Union as constituted at 30 June 2013;. (ii) third countries;. (c) for the period from 1 July 2009 to 30 June 2013, the quantities of sugar and isoglucose produced annually, broken down, as the case may be, by production under quota and out of quota, refined from imported raw sugar and consumed annually;. (d) for the period from 1 July 2009 to 30 June 2013, the stocks of sugar and isoglucose held on 1 July of each year.	1	Croatia	the Commission	-	30-09-2013
Where TRACES, a Member State’s national system or one of their functionalities is unavailable, Member States may temporarily produce and electronically exchange all necessary documents in the available system and obligations regarding TRACES functionalities shall not apply. The Commission and the owners of the national systems shall perform an ad hoc bulk exchange of those documents as soon as availability is restored.	1	Member States; The Commission; the owners of the national systems	-	-	-
Where serious circumstances, other than natural phenomena, prevent fishing activities in FSM EEZ, the European Community may suspend payment of the financial contribution provided for in Article 2 of the Protocol, following consultations between the two parties where possible, and provided that the Community has paid in full any amounts due at the time of suspension.	0	-	-	-	-
If there has been no change to the information previously provided, each State or the Community, or both, as appropriate, shall so indicate. (c) The Community shall provide to the Agency, by 15 May of each year, the information identified in Article 2(a)(vi)(b) and (c) for the period covering the previous calendar year. (d) Each State shall provide to the Agency on a quarterly basis the information identified in Article 2(a)(ix)(a).	1	The Community	the Agency	annually	15-05-?
the list of individual loans of which a portfolio is composed;	0	-	-	-	-
At the request of the Commission the governments and competition authorities of the Member States shall provide the Commission with all necessary information to carry out the duties assigned to it by this Regulation.	1	the governments and competition authorities of the Member States	Commission	-	-
All TSOs of each LFC block that operates a reserve replacement process shall notify the RR availability requirements specified in accordance with Article 161(2) and the technical requirements for the connection specified in accordance with Article 161(3) for their LFC block available to ENTSO for Electricity for publication within 3 months before their applicability.	1	TSOs of each LFC block	ENTSO	-	-
Management plans referred to in paragraph 1 shall be submitted to the Commission not later than 15 October 2008.	1	-	the Commission	-	15-10-2008
Access to FIDUCIA information may be granted only to persons who:. have a need to know it,. subject to paragraph 2 of this Article, have been authorised to have access to FIDUCIA information, and. have been briefed on their responsibilities.	0	-	-	-	-
The producer organisation shall prepare an annual report of its activities under the production and marketing plan and shall submit it to its competent national authorities for approval.	1	The producer organisation	its competent national authority	annually	-
By letter of 4 April 1989, the Commission informed the German Government that it did not consider that the arguments put forward were sufficient to justify non-application of the framework in Germany.	0	-	-	-	-
The Parties shall enhance the ability of governments at all levels to deliver quality public services, to ensure effective, transparent, accountable and inclusive public administration, to promote the impartiality and effectiveness of law enforcement bodies and to foster citizens' participation and access to public information.	0	-	-	-	-
In the view of business cycle statistics, own output should be measured. The terms ‘production’ or ‘output’ in the sense of business cycle statistics do not include inputs from other units.	0	-	-	-	-
development of other technologies contributing to the transition to a safe and sustainable low-carbon economy;	0	-	-	-	-
If the measures are not in accordance with the opinion of the Committee, or if no opinion is delivered, the Commission shall, without delay, submit to the Council a proposal relating to the measures to be taken.	1	the Commission	the Council	-	without delay
The records shall be made available to the European Data Protection Supervisor on request.	1	-	the European Data Protection Supervisor	-	-
Net turnover from the principal activity at the NACE three-digit level,	0	-	-	-	-
The competent governmental authorities shall monitor the use made of the authorisations referred to in paragraph 3 and may withdraw them if a manufacturer makes improper use of the authorisation or fails to fulfil any of the other conditions laid down in this Protocol.	1	The competent governmental authorities	-	-	-
Each Member State shall, not later than 31 October of each year, notify to the Commission or a body designated by it the list of the names of inspectors authorised to perform the inspection and surveillance in the area referred to in paragraph 1, as well as the names of the vessels and aircraft used for inspection and surveillance which they intend to assign to the Scheme for the following year.	1	Each Member State	the Commission; a body designated	annually	31-10-?
The Austrian company for combined transport, Ökombi, will regularly provide, each month, monthly information to the Ministry of Transport and Communications of the Republic of Macedonia concerning Republic of Macedonia users of combined transport in transit through Austria.	1	Ökombi	the Ministry of Transport and Communications of the Republic of Macedonia	monthly	-
The Commission shall submit to the Council, before 1 January 1995, and thereafter every two years, a report on the implementation of this Regulation and, if appropriate, shall also put forward any necessary proposals.	1	The Commission	the Council	biannually	01-01-1995
Written information shall be sent to each applicant on the results of the selection process containing an explanation of the selection decisions.	1	-	applicant	-	-
The President shall draw up each year an estimate of the Office's revenue and expenditure for the following year and shall transmit it to the Administrative Council not later than 31 March each year, together with a list of posts and, where the estimate provides for a subsidy referred to in Article 108 (3), prefaced by an explanatory statement.	1	The President	the Administrative Council	annually	31-03-?
Every five years, from 1 September 2015, Member States shall submit to the Commission a report on the implementation of this Regulation in their respective territories.	1	Member States	the Commission	every five years	01-09-2015
National standardisation bodies shall send annual reports to the European standardisation organisations with regards to their activities in paragraphs 1 and 2 and all other measures to improve conditions for SMEs to use standards and to participate in the standards development process.	1	National standardisation bodies	European standardisation organisations	annually	-
In respect of purse seine and baitboat catching vessels fishing for tropical tunas in association with fish-aggregating devices (FADs), Member States shall, by 31 December of each year, submit to the Commission management plans for the use of such FADs by vessels flying their flag.	1	Member States	the Commission	annually	31-12-?
Member States shall, no more than once a year, notify the Commission of a summary of the derogations from the principle of the cascading use of biomass pursuant to paragraph 3a, together with the reasons for such derogations and the geographical scale to which they apply.	1	Member States	the Commission	annually	-
A request for proof of use pursuant to Article 64(2) or (3) of Regulation (EU) 2017/1001 shall be admissible if the proprietor of the EU trade mark submits it as an unconditional request in a separate document within the period specified by the Office pursuant to Article 17(1) of this Regulation.	0	-	-	-	-
Description of cost estimates (basis for cost estimate, what type of costs are included in the estimate, methodology) (14)	0	-	-	-	-
In the same year, Hutchison's United Kingdom port operations showed an 11 % increase in earnings before interest expense and taxation (EBIT) over 1998 figures (source: Hutchison Whampoa annual report 1999, pages 4 and 18).	0	-	-	-	-
Belgium shall inform the Commission by 30 March 2021, and every six months thereafter, of the implementation of the planned public expenditure until that planned public expenditure has been fully implemented.	1	Belgium	the Commission	semiannually	31-03-2021
The Board of Supervisors shall adopt, on the basis of a proposal by the Management Board, the annual report on the activities of the Authority, including on the performance of the Chairperson’s duties, and shall transmit that report to the European Parliament, to the Council, to the Commission, to the Court of Auditors and to the European Economic and Social Committee by 15 June each year.	1	The Board of Supervisors	the European Parliament, the Council, the Commission, the Court of Auditors and the European Economic and Social Committee	annually	15-06-?
Animals present on the holding shall only be considered as determined if they are identified in the aid application or in the payment claim.	0	-	-	-	-
Breakdown by preferential treatment on imports (for variables 450202a/b only)	0	-	-	-	-
Member States shall notify to the Commission before 31 December the quantities broken down by CN code for which licences have been issued for the following quota year, in accordance with Article 25 of Regulation (EC) No 1187/2009.	1	Member States	the Commission	-	31-12-?
Each Party shall provide for appropriate recognition of and support to associations, organisations or groups promoting environmental, including health, protection in the context of this Protocol.	0	-	-	-	-
It shall also inform the Commission and the other Member States of the assessment referred to in that paragraph, the measures taken and the evidence justifying those measures.	1	It	the Commission and the other Member States	-	-
The Commission shall submit to the Council, by 31 December 1988, proposals aimed at eliminating or reducing risks of distortion, tax evasion and tax avoidance linked to the diversity of national systems for the taxation of savings and for controlling the application of these systems.	1	The Commission	the Council	-	31-12-1988
This Agreement shall enter into force on the first day of the month following that in which both Parties have notified each other that they have completed their respective internal requirements and procedures for establishing their consent to be bound.	0	-	-	-	-
250201. Gross margin on goods for resale (1 % rule as defined in Annex III.A.1 based on ‘net turnover’ and ‘number of employees and self-employed persons’ at NACE division level may be applied)	0	-	-	-	-
Any working arrangements on exchanging classified information shall be concluded in accordance with Article 76(4) of this Regulation.	0	-	-	-	-
Member States shall submit to the Commission by 31 August each year a report, for the previous year, on the scope and the outcome of the official controls performed in order to verify compliance with this Regulation.	1	Member States	the Commission	annually	31-08-?
It shall provide to the Commission quarterly statistical data evidencing the evolution of the labour market per sector of activity and occupation.	1	It	the Commission	quarterly	-
The Kingdom of the Netherlands and the Federal Republic of Germany shall inform the Commission by 31 March 2023 of the works scheduled for the implementation of point 4.2.5.1. and point 4.2.8. of the Annex to Regulation (EU) 2016/919 and notify the Commission of the actual implementation thereof by 31 December 2024.	1	The Kingdom of the Netherlands and the Federal Republic of Germany	the Commission	-	31-03-2024
21. processing means the process by which the presentation was prepared.	0	-	-	-	-
The ex post evaluation report referred to in Article 86(5) of Regulation (EC) No 1698/2005 shall be submitted to the Commission by 31 December 2016.	1	-	the Commission	-	31-12-2016
Each beneficiary country for which the transition period has been extended in accordance with Article 1 shall submit to the Commission, by 30 September 2020, a report detailing the progress made in implementing the work plan referred to in Article 1(2), and elaborating on any corrective measures necessary to meet the time-limit of 31 December 2020 for the application of the REX system.	1	Each beneficiary country	the Commission	-	30-09-2020
That updated data shall be sent to the Commission before 31 December of the year preceding the calendar year to which the amounts refer to within the meaning of Article 2(e) of Regulation (EC) No 1782/2003.	1	-	the Commission	-	31-12-?
the consequences resulting from granting the derogation.	0	-	-	-	-
It shall take into account the reports transmitted to the European Parliament and to the Council in accordance with Article 47.	0	-	-	-	-
On request of a Member State the Commission (Eurostat) shall not disseminate to the public any unreliable cell value transmitted by that Member State.	0	-	-	-	-
Member States shall report the data concerning the implementation of Article 5(2), (5) and (6) for each calendar year to the Commission	1	Member States	the Commission	annually	-
This amount shall be fixed at the same time as the representative prices referred to in that Article.	0	-	-	-	-
The Party or SADC EPA State, as the case may be, which has made a finding, on the basis of objective information, of a failure to provide administrative cooperation and/or of irregularities or fraud shall without undue delay notify the Trade and Development Committee of its finding together with the objective information and enter into consultations within the Trade and Development Committee, on the basis of all relevant information and objective findings, with a view to reaching a solution acceptable to both Parties.	1	The Party or SADC EPA State	the Trade and Development Committee	-	without undue delay
In addition to the information referred to in paragraph 1, Member States shall submit to the Commission, by 30 June of each year, the following information concerning Union fishing vessels that were authorised to carry out pelagic longline fisheries or harpoon fisheries targeting Mediterranean swordfish during the preceding year:. (a) information related to fishing activities by target species and area, based on sampling or on the whole fleet, including:(i) fishing period(s) and total annual number of fishing days of the vessel;. (ii) geographical areas, by ICCAT statistical rectangles, for the fishing activities carried out by the vessel;. (iii) type of vessel;. (iv) number of hooks used by the vessel;. (v) number of longline units used by the vessel;. (vi) overall length of all longline units for the vessel;. (b) data on the catches, in the smallest time-area possible, including:(i) size and, if possible, age distributions of the catches;. (ii) catches and catch composition per vessel;. (iii) fishing effort (average fishing days per vessel, average number of hooks per vessel, average longline units per vessel, average overall length of longline per vessel).	1	Member States	the Commission	annually	30-06-?
Total building floor area of the buildings with a total useful floor area over 250 m2 owned and occupied by the Member States’ central government	0	-	-	-	-
3. The Commission shall adopt measures under paragraph 1 or 2 only if it is not possible to adopt the required emergency measures in accordance with Article 219 or 220.	0	-	-	-	-
The Committee shall send to the Commission, annually, by 1 May, a comprehensive report on its implementation of this Regulation during the previous year.	1	The Committee	the Commission	annually	01-05-?
Member States shall report information regarding the nature, quantities and value of the goods they have admitted free of import duties and VAT pursuant to Article 1 to the Commission on a monthly basis, on the fifteenth day of the month following the reporting month.	1	Member States	the Commission	monthly	on the fifteenth day of the month following the reporting month
Member State of first intended stay, and if available, the address of first intended stay;	0	-	-	-	-
The competent authorities shall assess the quality of the data provided by the operators of the facilities referred to in paragraph 1, in particular as to their completeness, consistency and credibility.	0	-	-	-	-
Member States shall require insurance and reinsurance undertakings or insurance holding companies or mixed financial holding companies to report on a regular basis and at least annually to the group supervisor	1	insurance and reinsurance undertakings or insurance holding companies or mixed financial holding companies	Member States	annually	-
Greece shall communicate to the Commission not later than 15 February each year the appropriations made available to it which it intends to spend in the following year on implementation of the forecast supply balance and for each measure promoting local agricultural production included in the support programme.	1	Greece	the Commission	annually	15-02-?
(19) The Commission decision to initiate the procedure laid down in Article 88(2) of the Treaty and to request clarification from the United Kingdom authorities was the outcome of an initial examination of the notified project.	0	-	-	-	-
variables 251001 (Sold production), 251002 (Production under sub-contracted operations) and 251003 (Actual production) where the grouping is to be done on the basis of their share in the EU sold production of CPA divisions (05 to 33) under the scope of the PRODCOM list.	0	-	-	-	-
Since the objective of this Regulation, namely the establishment of a common framework for the collection, compilation, transmission and evaluation of European environmental economic accounts, cannot be sufficiently achieved by the Member States and can therefore be better achieved at Union level, the Union may adopt measures, in accordance with the principle of subsidiarity as set out in Article 5 of the Treaty on European Union. In accordance with the principle of proportionality, as set out in that Article, this Regulation does not go beyond what is necessary in order to achieve that objective.	0	-	-	-	-
have been the subject of a primary administrative or judicial finding.	0	-	-	-	-
The authorising officer shall report annually to the governing board on the performance of his or her duties for year N-1 in the form of a consolidated annual activity report containing:. (a) information on:(i) the achievement of the objectives and results set in the annual work programme referred to in Article 33 through the reporting on performance indicators;. (ii) the implementation of the PPP body's annual work programme, budget and staff resources;. (iii) organisational management and the efficiency and effectiveness of the internal control systems including the implementation of the body's anti-fraud strategy, the summary of number and type of internal audits carried out by the internal auditor, the internal audit capabilities, the recommendations made and the action taken on those recommendations and on the recommendations of previous years, as referred to in Articles 28 and 30;. (iv) any observations of the Court of Auditors and the actions taken on those observations;. (v) the service-level agreements concluded in accordance with Article 20(2)	1	the authorising officer	the governing board	annually	-
Where the Governing Council objects to the notified measure, it shall explain its reasons in writing to the national competent or designated authority concerned within five working days of the notification to the ECB.	1	-	-	-	-
Member States shall communicate to the Commission, by 15 March of each year, on the modalities of the derogations to Article 13(1) of Regulation (EC) No 1967/2006 and Article 120 of this Regulation applied to the prohibition on fishing activities carried out with trawl nets, in accordance with the conditions for allowing those derogations laid down in Article 13(5) and (10) of Regulation (EC) No 1967/2006 and Article 120 of this Regulation.	1	Member States	the Commission	annually	15-03-?
220501. Number of employees and self-employed persons in foreign-controlled enterprises	0	-	-	-	-
The Court of Auditors shall transmit to the Commission, by 15 June at the latest, any observations which, in its opinion, are such that they should appear in the annual report.	1	the Court of Auditors	the Commission	annually	15-06-?
where applicable, any guidance on additional own funds imposed in accordance with Article 41 of Directive (EU) 2019/2034.	0	-	-	-	-
Written communication between competent authorities under this Regulation, including the exchange of forms provided for in this Regulation, and of the requested data under the procedure for enforcement as provided for in Article 16, as well as written communication with competent Union agencies or bodies, shall be carried out through the decentralised IT system.	0	-	-	-	-
The provisions of the Directive shall, for the purposes of the present Agreement, be read with the following adaptations:. (a) the term Member States shall read EC Member States or EFTA States;. (b) the term Member State shall read EC Member State or EFTA State;. (c) the term Commission shall read competent surveillance authority as defined in Article 62 of the EEA Agreement;. (d) in Article 1 (d), first subparagraph, the phrase State aid within the meaning of Articles 92 and 93 of the Treaty shall read State aid within the meaning of Articles 61 and 62 of the EEA Agreement;. (e) in Article 3 (2) the term Community shipyards shall read Community shipyards or EFTA States' shipyards;. (f) in Article 3 (4) the term Community rules shall read rules under the EFTA Agreement;. (g) in Article 4 (1) the term common market shall read functioning of the EEA Agreement;. (h) in Article 4 (2), first subparagraph, the term Community yards shall read yards within the territory covered by the EEA Agreement;. (i) the following shall be added at the end of the first subparagraph of Article 4 (2):Before fixing the ceiling the competent surveillance authorities as defined in Article 62 of the EEA Agreement shall, in order to obtain uniform application in the EEA context, exchange information and consult each other closely.;. (j) in Article 4 (3) the phrase contrary to Community interests shall read contrary to common interests;. (k) the following shall be added after the second sentence in the first subparagraph of Article 4 (3):Before reviewing the ceiling the competent surveillance authorities as defined in Article 62 of the EEA Agreement shall, in order to obtain uniform application in the EEA context, exchange information and consult each other closely.;. (l) Article 4 (5), second subparagraph, shall read:However, where there is competition between yards in different States within the territory covered by the EEA Agreement, the competent surveillance authorities as defined in Article 62 of the EEA Agreement shall require prior notification of the relevant aid proposals at the request of any State.	1	the competent surveillance authorities	each other	-	-
For the purpose of monitoring compliance with all the above conditions, Poland shall provide the Commission with six-monthly reports on the state of progress of FSO’s restructuring.	1	Poland	the Commission	semiannually	-
Member States shall communicate to the Commission by 15 November of each year, a detailed report on fishing activities of fishing vessels operating within the scope of this section for the previous year.	1	Member States	the Commission	annually	15-06-?
The maximum time period to transmit the information shall not exceed 7 days following the movement, birth or death of the animals, as applicable.	0	-	-	-	-
For the purpose of this Regulation, qualifying infrastructure corporate investment shall include investment in an infrastructure entity that meets the following criteria:. (1) The substantial majority of the infrastructure entity's revenues is derived from owning, financing, developing or operating infrastructure assets located in the EEA or the OECD;. (2) The revenues generated by the infrastructure assets satisfy one of the criteria set out in Article 164a(2)(a);. (3) Where the revenues of the infrastructure entity are not funded by payments from a large number of users, the party which agrees to purchase the goods or services provided by the infrastructure entity shall be one of the entities listed in Article 164a(2)(b);. (4) The revenues shall be diversified in terms of activities, location, or payers, unless the revenues are subject to a rate-of-return regulation in accordance with Article 164a(1)(c)(a)(ii) or a take-or-pay contract or the revenues are availability based;. (5) Where investments are in bonds or loans, the insurance or reinsurance undertaking can demonstrate to the supervisor that it is able to hold the investment to maturity;. (6) Where no credit assessment from a nominated ECAI is available for the infrastructure entity:(a) the capital structure of the infrastructure corporate shall allow it to service all its debt under conservative assumptions based on an analysis of the relevant financial ratios;. (b) the infrastructure entity shall have been active for at least three years or, in the case of an acquired business, it shall have been in operation for at least three years;. (7) Where a credit assessment from a nominated ECAI is available for the infrastructure entity, such credit assessment has a credit quality step between 0 and 3.	0	-	-	-	-
As of 1 January 2021, for the purpose of collecting fishing effort data for the establishment of a future fishing effort regime, Member States shall report to the Commission by 10 June of each year data from the previous year on kW × fishing days and fishing days by gear and vessel LOA with no merging of vessel length classes, as provided for in Annex XIII.	1	Member States	the Commission	annually	10-06-?
In this overall assessment Member States shall pay particular attention to:	0	-	-	-	-
Member States shall, within three months from the entry into force of this Framework Decision, notify the Council and the Commission of the existing agreements and arrangements referred to in the first subparagraph which they wish to continue applying.	1	Member States	the Council and the Commission	-	within three months
the possibility of introducing specific measures in this Regulation to promote sustainable and innovative crowdfunding projects, as well as the use of Union funds.	0	-	-	-	-
all necessary data for the identification of the plant protection product including its complete composition as well as a declaration that no unacceptable co-formulants are used;	0	-	-	-	-
For rural development programmes, the sectoral monitoring committee referred to in Article 10 shall be the sectoral IPARD monitoring committee.	0	-	-	-	-
Member States shall notify the Commission by 31 October each year of data on national budgetary outlays, including revenue foregone, on domestic support measures in favour of agricultural producers for the previous Union financial year.	1	Member States	the Commission	annually	31-10-?
The Commission shall each year, before 15 September, submit to the European Parliament and to the Council, a report on the implementation of this Decision.	1	The Commission	the European Parliament and the Council	annually	15-09-?
No later than 30 June 2005, and thereafter every five years, Member States shall inform the Commission of the major roads which have more than six million vehicle passages a year, major railways which have more than 60000 train passages per year, major airports and the agglomerations with more than 250000 inhabitants within their territories.	1	Member States	the Commission	every five years	30-06-2005
From 2015 onwards, Croatia shall notify the Commission by 31 January of each year of the areas which have been identified in accordance with Article 57a(10) of Regulation (EC) No 73/2009 and which were returned to use for agricultural activities in the previous calendar year.	1	Croatia	the Commission	annually	31-01-?
Any request for extension of the special measure provided for in this Decision shall be submitted to the Commission no later than 31 March 2018 and shall be accompanied by a report which includes a review of the application of this measure.	1	-	the Commission	-	31-03-2018
The insurance or reinsurance undertaking shall provide information regarding past calls including the following:. (a) information on its experience of past calls or the collection of other funds due from the same or similar counterparties in the same or similar circumstances;. (b) all relevant available market data relating to past calls or the collection of other funds due from the same or similar counterparties in the same or similar circumstances;. (c) an assessment as to the relevance and reliability of the information described in points (a) and (b) as regards the expected outcome of future calls by the insurance or reinsurance undertaking.	1	The insurance or reinsurance undertaking	-	-	-
The Commission shall, in cooperation with the Member States, annually compile a Union greenhouse gas inventory and prepare a Union greenhouse gas inventory report and shall submit them to the UNFCCC Secretariat by 15 April each year.	1	The Commission in cooperation with the Member States	the UNFCCC	annually	15-04-?
Employee benefits expense in foreign-controlled enterprises	0	-	-	-	-
